OST_BK,topic_100
58712442,23
58806872,-1
59067053,97
59348645,111
59373972,-1
59470367,21
59533307,76
59570720,-1
59606465,2
59650260,134
59654682,5
59694209,2
59741605,134
59804096,47
59942195,4
60033656,25
60266916,10
60299548,29
60341541,31
60350374,-1
60523993,29
60578082,131
60720886,82
60760876,-1
60852874,89
61046322,89
61121411,-1
61209160,109
61612842,-1
61864071,97
62522907,20
62760255,-1
62801314,2
62873756,-1
62962380,-1
62968081,-1
62992839,60
63106276,25
63204731,75
63317412,33
63347346,33
63471465,33
63518257,33
63547590,20
63549546,72
63632457,33
63724754,4
63833426,-1
63877040,20
63901027,89
63969988,-1
64028927,32
64060964,-1
64367435,39
64456498,23
64555006,25
64575857,2
64639529,-1
64912094,5
64913297,101
65000153,65
65003913,-1
65013233,-1
65036810,-1
65387742,131
65409301,-1
65511083,28
65614925,5
65686595,23
65715180,-1
65723094,32
65741160,-1
65753415,36
65856971,72
65917518,-1
66073038,1
66392011,4
66402202,97
66429126,27
66433430,95
66629412,-1
66641460,-1
66703345,110
66798126,2
66808718,10
67170226,37
67208625,-1
67443985,10
67627125,95
67916513,33
68003693,140
68106050,-1
68128693,-1
68167643,-1
68551374,106
68737192,33
68925910,33
69013538,5
69025150,-1
69115548,89
69297201,47
69420971,-1
69726953,20
69759479,14
69843187,33
69985639,122
70045567,-1
70110608,40
70696151,1
70738466,9
70759902,4
70788080,4
70868499,19
70968821,33
71115418,5
71244830,29
71247110,14
71353351,20
71387564,95
71633272,-1
71800580,4
71907167,141
71934792,47
71960700,10
72047577,-1
72054483,5
72088765,-1
72292872,-1
72387099,8
72387532,-1
72669887,1
72720268,39
72931637,2
72948495,1
72963969,97
73018544,2
73209729,86
73434216,4
73476392,7
73550969,97
73580389,2
73614581,33
73642430,4
73787308,4
73953244,140
73980160,20
74172147,20
74271300,4
74412579,14
74571053,-1
74852376,-1
74889805,-1
75053111,20
75125703,-1
75198959,97
75533711,-1
75649132,33
75766834,29
75892929,132
75895113,1
75903320,17
75925295,-1
75940680,14
75984681,93
75993924,-1
76369057,23
76688691,-1
76705818,4
76751162,4
76774886,-1
76815981,1
77028535,-1
77101073,-1
77410502,60
77604395,2
77781183,-1
77812711,2
77822683,28
77920242,23
78558287,-1
79026381,28
79110039,101
79400416,-1
79656336,47
79668513,-1
79692513,-1
79739883,1
79748882,89
79870437,33
80026767,-1
80146021,60
80225674,-1
80246298,-1
80322730,10
80400650,31
80449152,-1
80509238,2
80653844,-1
80737034,86
80794499,101
80816593,89
80917323,6
80970278,5
81100716,1
81233447,-1
81258079,20
81263384,-1
81309074,-1
81323818,4
81336391,2
81375534,4
81399817,54
81456740,33
81471981,131
81511266,25
81521845,4
81526418,-1
81529371,33
81536690,33
81599894,10
81621760,97
81700982,95
81839670,4
81857624,25
81881386,96
81881892,33
81919787,23
82004001,-1
82074681,75
82084289,2
82368067,28
82460169,31
82477196,-1
82567071,4
82751635,96
9515996,28
11628226,40
11758579,45
14558815,34
14640217,6
15064473,19
15408204,-1
15748655,65
16865688,23
17298211,86
17446112,4
17454133,-1
17566257,65
17858108,10
19037480,-1
19270245,65
19968709,-1
20207313,-1
20581162,-1
20761263,39
20849059,28
21118233,50
21422837,-1
21751448,-1
21903884,-1
22086731,20
23585721,-1
23655944,33
23971020,134
24118872,77
24120380,89
24811943,-1
25318105,-1
26906065,5
27019568,23
27230896,28
28658151,10
28678993,20
28702180,-1
28742423,-1
28992110,89
29467546,-1
29632208,8
29920338,-1
30492427,5
30633718,20
31658230,19
31721759,-1
32086147,101
32357186,-1
32768804,-1
33355899,101
33395989,75
33623547,33
34132809,-1
82726641,-1
82832465,-1
82865341,31
82963345,-1
83218132,17
83218225,1
83241187,28
83247012,29
83512197,76
83621905,5
83678756,23
83728715,-1
84006196,4
84105497,-1
84176697,-1
84301787,10
84588102,131
84617223,122
84734627,101
85150855,-1
85163108,58
85186787,4
85231655,-1
85280569,85
85344253,65
85706309,131
85718091,125
85721686,-1
85805835,6
85857837,-1
86060637,-1
86105942,4
86249238,37
86310811,-1
86422270,57
86495354,61
86744232,-1
86941616,-1
87149100,4
87150687,110
87175770,14
87253259,97
87274665,40
87381656,50
87617377,4
87689937,-1
87804564,4
88121735,-1
88391768,-1
88798303,2
88802387,27
89051517,-1
89384771,14
89763780,-1
89812248,40
89837775,23
89870125,23
90105135,4
90129528,4
90183943,37
90240735,-1
90307750,-1
90358063,59
90493590,5
90563909,53
90608638,-1
90622380,76
90637033,47
90755916,85
90757226,6
90905869,-1
91028459,50
91040466,17
91118357,-1
91152815,132
91160249,23
91186251,-1
91251180,40
91259744,5
91309545,21
91350279,1
91388410,1
91888644,2
91986126,20
92046094,1
92060168,-1
92399445,-1
92498398,89
92913612,-1
93054662,-1
93134340,46
93171656,8
93254036,24
93305889,106
93342204,42
93344264,-1
93413511,42
93444250,125
93529404,28
93581631,28
93626980,-1
93633682,-1
93651558,33
93660221,28
93671157,134
93810651,31
93834938,76
93906823,22
93914918,96
93952159,37
93960581,2
93970858,23
94077620,60
94092389,134
94130785,35
94277101,-1
94338124,47
94358598,89
94423989,101
94529484,-1
94539381,22
94616728,97
94625494,-1
94672204,4
94726212,5
94787523,-1
94888477,97
95117592,68
95184055,-1
95280304,-1
95282785,47
95315048,141
95322460,65
95331869,-1
95342207,-1
95389571,22
95414362,60
95468249,-1
95551494,65
95606507,-1
95835193,39
95872343,76
96128171,101
96301708,-1
96370127,54
96374490,101
96465993,-1
96472884,-1
96527261,-1
96749356,125
96765329,21
96768406,4
96818331,110
96869284,-1
97028879,39
97029859,-1
97075657,-1
97139147,-1
97173297,23
97207041,110
97218260,106
97297254,47
97311120,127
97316281,14
97322581,-1
97401997,6
97455017,9
97460342,122
97595611,4
97600680,122
97666231,95
97720115,132
97780529,6
97917916,4
97930563,28
97946731,89
97956714,136
98116070,60
98127394,119
98246513,37
98251181,28
98276625,19
98310080,-1
98310557,37
98321041,5
98358638,-1
98401073,-1
98412721,37
98475591,101
98497727,1
98520842,101
98560030,28
98583408,1
98612192,-1
98653834,101
98658371,-1
98660449,-1
98672551,15
98827790,82
98892703,-1
98997712,-1
99151129,-1
99290114,-1
99324411,28
99430569,9
99515118,-1
99540309,33
99543568,-1
99558353,-1
99593152,23
99598383,25
99621728,54
99638034,95
99653790,28
99732433,42
99754089,131
99857528,31
99890095,-1
99892715,68
99900973,6
99943901,-1
99958829,17
99968099,31
99985084,4
99990241,-1
99992716,-1
100002839,53
100026296,-1
100026312,97
100028721,31
100046929,-1
100058643,4
100071633,40
100087155,9
100091249,109
100113374,-1
100133553,-1
100167591,74
100181979,91
100193535,-1
100196303,91
100196504,89
100229519,14
100314880,47
100361815,61
100422697,-1
100486819,1
100519540,17
100528206,6
100550820,40
100552920,9
100624418,14
100661217,135
100687898,-1
100711975,95
100712135,25
100734394,143
100737545,8
100848607,67
100853188,4
100876296,47
100906104,4
100931477,4
101017076,6
101062695,37
101072373,25
101075736,4
101141491,36
101230148,5
101246251,4
101264446,-1
101300489,-1
101325017,-1
101333459,67
101341557,2
101363119,2
101374498,95
101378562,8
101417317,46
101454077,-1
101482557,101
101488997,-1
101502605,33
101511808,131
101538160,33
101540458,101
101550622,54
101555721,10
101569947,39
101569983,-1
101605619,-1
101607366,95
101628950,131
101630418,-1
101636861,-1
101655282,17
101657748,-1
101663611,-1
101685308,23
101690040,30
101722935,1
101731612,1
101748928,95
101749077,37
101758437,-1
101783430,-1
101790049,93
101827962,-1
101837265,4
101837454,-1
101855864,-1
101859028,6
101888139,91
101899796,8
101912622,-1
101926965,-1
101939578,23
101946046,-1
101950013,21
101960555,126
84754838,47
84869850,-1
84921264,125
85101544,33
85157697,53
85206045,106
85315077,21
85366419,28
85562081,119
85604710,9
85728662,-1
85804624,-1
85847068,143
86141915,-1
86183836,33
86248041,-1
86329393,33
86392108,2
86766605,8
86804843,-1
87012517,-1
87100547,4
87114712,39
87389435,-1
87831758,-1
87914196,4
88178582,-1
88279196,1
88279727,4
88470694,47
88705264,8
88714461,-1
88787354,31
88845835,-1
89018528,5
89231997,138
89576477,132
89727237,40
89757705,20
89991229,54
90165598,58
90289109,5
90293245,2
90592176,9
90649476,-1
90683025,20
91017813,-1
91020997,4
91108799,17
91237320,1
91248055,143
91249165,-1
91266650,24
91314117,1
91417963,-1
91427047,105
91455276,4
91694839,-1
91928946,21
92021717,122
92299382,6
92312265,96
92495642,96
92615367,30
92702627,2
92755591,91
92801326,-1
92950836,-1
92958699,2
92969989,-1
93062805,31
93142749,17
93178892,9
93190250,110
93293282,9
93424896,50
93434011,65
93456443,25
93509807,47
93512116,28
93528212,28
93538989,40
93640785,5
93642315,-1
93659726,28
93699804,110
93735516,54
93754024,36
93849510,131
93986014,37
94028421,29
94114978,25
94196300,25
94297124,140
94301631,129
94304424,23
94348661,60
94374417,46
94524565,2
94598615,8
94649945,33
94698069,-1
94778291,100
94808603,67
94854114,122
94892323,23
95003148,21
95013061,140
95178830,32
95206252,4
95218801,4
95248455,144
95324305,-1
95393295,14
95456727,2
95481254,95
95788536,23
95994361,-1
96018142,-1
96028709,-1
96164144,25
96198563,37
96317511,4
96351703,23
96448162,141
96541326,4
96638976,17
96745939,-1
96855607,101
96928477,46
96993654,119
97016709,42
97151567,4
97228267,-1
97420743,39
97454520,-1
97493157,65
97515501,20
97636829,9
97713029,-1
97714989,131
97746161,33
97757246,-1
97757999,-1
97822334,8
97834608,54
97858570,33
97868836,-1
97881568,6
97905886,8
97910073,33
97933265,33
97939209,97
97940365,-1
97962962,33
97964205,28
97988605,91
98020838,-1
98109062,143
98118646,28
98126288,17
98183823,122
98216657,37
98265922,-1
98288066,-1
98372766,-1
98380534,89
98477930,-1
98506193,-1
98580990,22
98602946,-1
98624376,8
98690756,23
98696408,109
98848810,-1
98943920,-1
98973657,4
99241184,-1
99277802,89
99282440,2
99392114,-1
99405215,122
99429369,25
99560623,-1
99564829,119
99573065,-1
99614655,54
99622387,36
99639488,-1
99713166,46
99721901,23
99731708,31
99744913,110
99803606,-1
99900059,40
99916020,28
99944696,25
99960076,44
99960453,-1
99975135,20
99984950,8
100006126,47
100008425,3
100024624,4
100027415,105
100036369,60
100040023,8
100082595,53
100087421,28
100088116,36
100098197,-1
100136611,28
100171826,13
100180674,54
100183857,97
100213418,49
100265392,21
100305782,28
100312522,101
100362129,-1
100440981,58
100507180,2
100550936,50
100825497,25
100909435,93
100924644,4
100929148,4
100965324,21
100980028,39
101005937,-1
101006511,-1
101123011,-1
101164235,10
101176796,23
101303508,4
101308403,-1
101328789,20
101345283,9
101389266,4
101432347,-1
101508137,4
101515404,53
101516674,-1
101529386,-1
101537051,1
101539438,21
101540770,-1
101546167,122
101547642,33
101550242,14
101558141,140
101596037,91
101601372,122
101622738,8
101626266,1
101626565,-1
101630586,46
101665505,20
101670314,-1
101718277,33
101738482,6
101744936,4
101750062,2
101766466,2
101776220,19
101782684,8
101794004,33
101797573,134
101800129,91
101805943,22
101812846,-1
101816140,-1
101837019,60
101852110,60
101855946,-1
101874779,122
101902651,23
101915671,2
101929355,4
101942317,-1
101952855,5
101955716,36
101957023,4
101957758,93
101961696,106
101966008,1
101968184,-1
101972736,119
101974761,110
101979192,50
102001221,1
102001931,32
102018386,4
102021951,91
102023992,110
102027452,25
102037160,67
102043310,-1
102046658,23
102051221,-1
102053826,1
101974936,50
101980951,23
101986164,1
102000948,-1
102019956,6
102029167,6
102032653,-1
102032666,17
102044116,21
102044744,131
102068494,25
102068695,119
102075559,23
102080107,65
102093535,21
102094397,-1
102098572,21
102107232,-1
102121838,50
102132326,24
102146332,-1
102184592,28
102198314,47
102205700,22
102225827,2
102233196,4
102233868,4
102242953,-1
102246618,6
102250154,-1
102250617,33
102255397,127
102258951,-1
102262345,-1
102278098,23
102283855,110
102290939,23
102319699,8
102321022,-1
102322955,131
102344522,4
102346740,1
102349319,-1
102382996,96
102387664,-1
102420642,17
102425117,-1
102433895,47
102440468,50
102460427,1
102477000,20
102510288,-1
102524017,106
102532327,-1
102541074,131
102559464,-1
102584196,8
102598207,-1
102603689,125
102625070,-1
102637539,5
102638507,50
102647386,8
102649229,-1
102653657,-1
102671986,-1
102678532,24
102681002,132
102689652,1
102722419,58
102732350,19
102733369,22
102734782,-1
102738214,93
102753862,14
102756297,-1
102760251,58
102766006,73
102787658,106
102789226,40
102803983,131
102814256,-1
102815442,45
102828360,1
102840248,6
102845861,20
102847683,23
102849854,39
102851890,4
102862175,122
102874980,20
102888089,109
102888480,25
102904972,-1
102914314,141
102942849,4
102944007,-1
102960767,6
102974366,25
102985450,6
102987008,96
103001617,-1
103002862,8
103010687,10
103017351,2
103037715,4
103079452,21
103101861,74
103120139,17
103126519,21
103129597,-1
103176824,58
103198729,6
103208243,-1
103244782,53
103248857,91
103258463,4
103291792,10
103304900,39
103319699,-1
103323707,20
103335444,1
103358283,-1
103422856,89
103556533,74
103682649,-1
103697153,85
103721434,10
103740306,15
103791991,-1
103798035,25
103827942,87
103834209,47
103864578,1
103888599,-1
103897191,54
103899830,125
103904023,25
103951662,1
103957150,14
103957183,-1
103978864,141
104048521,-1
104052126,-1
104061498,-1
104062905,-1
104073987,1
104114075,-1
104139617,95
104141858,76
104152651,93
104188697,122
104198140,9
104222394,-1
104228958,-1
104233196,-1
104262884,85
104269963,25
104273994,-1
104317847,109
104367755,10
104370390,2
104384766,25
104396637,6
104533564,46
104542521,25
104615394,-1
104650859,23
104714589,2
104726052,39
104727029,-1
104777468,106
104800693,-1
104823803,38
104935338,127
104946314,101
104972609,-1
105012274,-1
105030711,-1
105087401,6
105124934,-1
105149051,-1
105158030,-1
105159312,-1
105172057,119
105182438,25
105201726,-1
105205893,-1
105234677,68
105255586,125
105268530,20
105286323,40
105288003,122
105292773,97
105325911,-1
105378409,91
105378534,25
105396857,-1
105400576,-1
105401958,-1
105509089,96
105536525,60
105614689,-1
105628842,23
105633920,40
105639857,1
105777817,47
105828111,25
105829002,-1
105877422,-1
105920403,21
105927367,23
105945405,91
106040506,9
106079466,33
106108169,21
106157696,-1
106162762,4
106173622,-1
106197113,110
106198689,-1
106204539,-1
106260644,19
106291095,4
106352483,2
106369046,9
106373054,-1
106384981,91
106392338,29
106401900,6
106434524,-1
106476941,-1
106477095,96
106514012,23
106519493,77
106523382,143
106532797,-1
106553501,1
106568767,-1
106573196,75
106586376,21
106697623,4
106723137,110
106728984,106
106773481,-1
106779159,4
106797876,-1
106857058,132
106860780,75
106861683,4
106876811,-1
106931943,4
106933999,119
107005047,1
107005644,2
107073507,95
107078723,47
107117052,-1
107119014,-1
107124770,6
107131454,-1
107149339,-1
107152567,-1
107156666,-1
107162870,5
107165752,1
107200969,1
107205136,-1
107220082,56
107229149,6
107249623,109
107283304,66
107315927,-1
107317817,-1
107325932,6
107330631,66
107366652,-1
107380699,91
107393364,-1
107407691,39
107445512,14
107490607,33
107553547,96
107554249,9
107562650,32
107574866,-1
107579484,101
107603586,65
107643556,50
102060763,8
102078283,-1
102111679,101
102132630,33
102133936,33
102149375,20
102151844,143
102152892,25
102157489,54
102160599,-1
102161222,4
102162568,17
102165413,-1
102168677,-1
102196225,1
102205281,-1
102206701,28
102208135,37
102227532,96
102263915,4
102285913,42
102287922,33
102291283,-1
102319661,143
102324368,5
102330670,21
102334018,85
102343436,72
102362127,131
102363855,109
102366885,131
102395082,59
102396509,-1
102421808,6
102421985,23
102427090,91
102447094,95
102459799,6
102461210,-1
102482881,14
102492954,132
102497069,96
102499060,123
102528811,-1
102549166,4
102551359,31
102561598,8
102564165,4
102566441,1
102583118,131
102601430,20
102622953,25
102649899,25
102657331,4
102688636,122
102692211,143
102704442,53
102715626,4
102723854,20
102725821,20
102728831,-1
102729491,4
102767407,96
102775218,82
102783912,101
102808045,6
102822447,110
102839033,4
102849496,-1
102861467,29
102883325,8
102895765,-1
102904261,17
102904878,-1
102914640,-1
102939253,8
102944586,-1
102953844,-1
102957747,-1
102974748,4
102983852,4
103012865,4
103027087,40
103029985,24
103040982,6
103054618,58
103064362,56
103078723,-1
103085834,-1
103086413,-1
103099969,9
103103059,-1
103106604,6
103136657,4
103138035,40
103138314,25
103139182,4
103143303,131
103143633,9
103174649,-1
103190328,20
103221072,1
103223898,-1
103240163,-1
103258292,20
103281363,-1
103281917,-1
103303949,4
103336157,67
103381383,-1
103388603,47
103401675,89
103447538,5
103461250,96
103521566,-1
103544318,48
103578097,-1
103650647,60
103658620,53
103676031,-1
103681229,-1
103708159,-1
103720163,-1
103785302,14
103823564,106
103830473,-1
103834364,106
103851852,40
103878097,8
103923241,67
103935285,47
103935600,4
103969113,78
